,Isotope,Burnup-Conc,0.1,1.0,10.0,100.0,1000.0,10000.0
0,U-233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,U-234,1.2866288521436575e-07,1.445364815281311e-07,3.308364716191701e-07,2.861239106729045e-06,4.531132382089454e-05,0.00024880183195953484,0.0002469170399932271
2,U-235,1.94529395519135,1.9453124368375128,1.9454788086961776,1.9471422930876603,1.9637537385147843,2.127550261987261,3.5542493956770613
3,U-236,0.6830755854533431,0.6830829053249959,0.6831487807383995,0.6838071951496235,0.6903574121132736,0.7525779001720223,1.1370121701479072
4,U-237,1.2522453246040961e-09,1.26233887133622e-09,1.2095106924774693e-09,7.862354080597529e-10,1.059209496956703e-11,9.761949033162667e-18,4.6915849517763275e-18
5,U-238,83.76201356716814,83.76201356622289,83.76201355776077,83.76201347239764,83.76201263041358,83.76200415569791,83.7619195605003
6,U-239,0.00011230127740466014,0.0,0.0,0.0,0.0,0.0,0.0
7,Np-234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Np-235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Np-236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Np-237,3.812180206785016e-06,4.206948159244452e-06,9.089506612066497e-06,0.00017008353286391322,0.005029576777692932,0.033216904274494384,0.04200996663927855
11,Np-238,3.747595658891379e-09,4.899749200821862e-11,4.87592943894522e-11,4.667108513338626e-11,3.01267832630349e-11,3.7844381127478833e-13,3.702438468758582e-32
12,Np-239,0.016254204250676592,3.953800121198624e-07,6.044308915644956e-11,6.039274938328797e-11,5.988981393549354e-11,5.507520945100682e-11,2.382194113530952e-11
13,Np-240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Pu-235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Pu-236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Pu-237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Pu-238,1.9346020734665267e-05,2.1207249249858802e-05,2.9948108534871142e-05,3.953066672774179e-05,7.197856513534467e-05,2.685286068368942e-06,2.758127313398033e-25
18,Pu-239,6.483171979831524,6.4995196102514425,6.499353650823151,6.497690323285021,6.481079714710325,6.3172869508007725,4.890598304991895
19,Pu-240,0.7005371110259667,0.7005298176987174,0.7004641763824505,0.6998076817977426,0.693260651296148,0.6310213054505613,0.2463302038115837
20,Pu-241,0.0397658167980764,0.039575963334389404,0.03790755585761447,0.024641586745620357,0.00033196931181693105,3.063460628370212e-10,1.472296744799234e-10
21,Pu-242,0.0018792637038211168,0.0018793021851993,0.001879499934131945,0.0018814297873103734,0.001896653685514934,0.0019214320371758614,0.0018904177856791046
22,Pu-243,4.6834590758323693e-08,9.861930087848714e-61,0.0,0.0,0.0,0.0,0.0
23,Am-240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Am-241,0.0023660512312310266,0.002555509918332192,0.00421903490196299,0.017324010340440718,0.03677406668370227,0.008912284362506183,1.0362226405279091e-08
25,Am-242,9.856213307306027e-08,3.4451955185108395e-09,3.4301485006324777e-09,3.2832458856871732e-09,2.119377274272763e-09,2.6622995432408905e-11,2.604613934906278e-30
26,Am-242m,0.00026713836545871395,0.0002670084757200339,0.0002658423064021401,0.00025445710545053137,0.00016425532090667976,2.063327143935674e-06,2.018619822479892e-25
27,Am-243,6.896366469793189e-05,6.900986092074109e-05,6.900411539595724e-05,6.894664553342713e-05,6.837247513890755e-05,6.287594065529291e-05,2.7196028341027345e-05
28,Am-244,1.4316122603472203e-08,2.0313301474177305e-34,4.735615778502877e-267,0.0,0.0,0.0,0.0
29,Cm-242,1.30018297809655e-05,1.131460775375898e-05,3.3527899107440015e-06,6.643375157164956e-07,4.2883671209863466e-07,5.3869209442042665e-09,5.2701993632305655e-28
30,Cm-243,6.242364223470637e-07,6.227671314058028e-07,6.096981650183447e-07,4.931816799974685e-07,5.914627700813553e-08,3.640258171503761e-17,2.8390949169555463e-109
31,Cm-244,7.534535241517468e-06,7.520306410218288e-06,7.268202520221773e-06,5.16823031441475e-06,1.7080093775366155e-07,2.654447666083083e-22,2.1817919287120874e-170
32,Cm-245,1.9502092986747168e-07,1.9501934214004023e-07,1.9500505317481968e-07,1.948622210903308e-07,1.9343964161048612e-07,1.7977271758332047e-07,8.639862528593259e-08
33,Lumped-Act.,1.3652931716703064e-07,1.4000462486493756e-07,1.712843849247509e-07,4.844132065520225e-07,3.699125942646544e-06,4.301264944276225e-05,0.0005662842499459074
34,FPs,6.365149109542612,6.365149109542338,6.365149109538077,6.365149109506753,6.365149109256016,6.36514910495763,6.3651490728630264
Total,,99.99999999123254,99.99999999122815,99.99999999123506,99.99999999048896,99.99999999401737,99.99999992432366,99.99999958666692
