,Isotope,Conc-init,Conc-final
0,U-233,0.0,0.0
1,U-234,0.0,4.855572715082299e-08
2,U-235,5.0,2.362283414226137
3,U-236,0.0,0.6520493568297412
4,U-237,0.0,8.948803509895878e-10
5,U-238,95.0,90.0948325257452
6,U-239,0.0,0.0001239096583543843
7,Np-234,0.0,0.0
8,Np-235,0.0,0.0
9,Np-236,0.0,0.0
10,Np-237,0.0,1.900929440265073e-06
11,Np-238,0.0,1.9141465686865665e-09
12,Np-239,0.0,0.01793573225283961
13,Np-240,0.0,0.0
14,Pu-235,0.0,0.0
15,Pu-236,0.0,0.0
16,Pu-237,0.0,0.0
17,Pu-238,0.0,8.990131182735643e-06
18,Pu-239,0.0,6.243848862406358
19,Pu-240,0.0,0.5963226118548656
20,Pu-241,0.0,0.029741360418580783
21,Pu-242,0.0,0.001181837154047374
22,Pu-243,0.0,3.021003567354815e-08
23,Am-240,0.0,0.0
24,Am-241,0.0,0.0014769846977770928
25,Am-242,0.0,6.27470235683858e-08
26,Am-242m,0.0,0.0001445438332828994
27,Am-243,0.0,3.634201171071616e-05
28,Am-244,0.0,7.736533263260062e-09
29,Cm-242,0.0,7.685660477883502e-06
30,Cm-243,0.0,3.2607316156568083e-07
31,Cm-244,0.0,3.387347680276997e-06
32,Cm-245,0.0,7.671083236551554e-08
33,Lumped-Act.,0.0,0.0
34,FPs,0.0,0.0
Total,,100.0,100.00000000000003
