,Isotope,5% Enriched,Once Burned MOX,Twice Burned MOX,Thrice Burned MOX
0,U-233,00.00,00.00,00.00,00.00
1,U-234,00.00,00.00,00.00,00.00
2,U-235,00.00,00.00,00.00,00.00
3,U-236,00.00,00.00,00.00,00.00
4,U-237,00.00,00.00,00.00,00.00
5,U-238,00.00,00.00,00.00,00.00
6,U-239,00.00,00.00,00.00,00.00
7,Np-234,00.00,00.00,00.00,00.00
8,Np-235,00.00,00.00,00.00,00.00
9,Np-236,00.00,00.00,00.00,00.00
10,Np-237,00.00,00.00,00.00,00.00
11,Np-238,00.00,00.00,00.00,00.00
12,Np-239,00.00,00.00,00.00,00.00
13,Np-240,00.00,00.00,00.00,00.00
14,Pu-235,00.00,00.00,00.00,00.00
15,Pu-236,00.00,00.00,00.00,00.00
16,Pu-237,00.00,00.00,00.00,00.00
17,Pu-238,00.00,00.04,00.02,00.01
18,Pu-239,90.85,76.18,81.93,83.38
19,Pu-240,08.68,13.68,14.19,14.39
20,Pu-241,00.43,03.38,01.48,01.29
21,Pu-242,00.02,04.03,01.31,00.47
22,Pu-243,00.00,00.00,00.00,00.00
23,Am-240,00.00,00.00,00.00,00.00
24,Am-241,00.02,00.73,00.28,00.16
25,Am-242,00.00,00.00,00.00,00.00
26,Am-242m,00.00,00.21,00.11,00.05
27,Am-243,00.00,00.97,00.33,00.11
28,Am-244,00.00,00.00,00.00,00.00
29,Cm-242,00.00,00.01,00.00,00.00
30,Cm-243,00.00,00.00,00.00,00.00
31,Cm-244,00.00,00.70,00.32,00.12
32,Cm-245,00.00,00.06,00.03,00.01
33,Lumped-Act.,00.00,00.00,00.00,00.00
34,FPs,00.00,00.00,00.00,00.00
Total,,100.00,100.00,100.00,100.00
Avg k,0.9881440199712154,,,,
Weight percent required,,00.04,00.03,00.03,
