,Isotope,Conc-init,Conc-final
0,U-233,0.0,0.0
1,U-234,0.0,6.5439667485325775e-06
2,U-235,5.0,0.6532445705091252
3,U-236,0.0,0.796199675543152
4,U-237,0.0,6.1141193174248385e-09
5,U-238,95.0,91.15982898906022
6,U-239,0.0,6.535454185748579e-05
7,Np-234,0.0,0.0
8,Np-235,0.0,0.0
9,Np-236,0.0,0.0
10,Np-237,0.0,1.5093851229300198e-05
11,Np-238,0.0,5.2679498948261065e-08
12,Np-239,0.0,0.009446305845549448
13,Np-240,0.0,0.0
14,Pu-235,0.0,0.0
15,Pu-236,0.0,0.0
16,Pu-237,0.0,0.0
17,Pu-238,0.0,0.0007415427146615147
18,Pu-239,0.0,0.4896799385946534
19,Pu-240,0.0,0.13681268136932426
20,Pu-241,0.0,0.1920726345713034
21,Pu-242,0.0,0.13906351861811547
22,Pu-243,0.0,4.2324547872059945e-05
23,Am-240,0.0,0.0
24,Am-241,0.0,0.006458992398597413
25,Am-242,0.0,2.6398054444562958e-06
26,Am-242m,0.0,0.000862018430585455
27,Am-243,0.0,0.042185438167152485
28,Am-244,0.0,4.448270001467912e-05
29,Cm-242,0.0,0.0004380682310033062
30,Cm-243,0.0,1.3958500946390622e-05
31,Cm-244,0.0,0.02120798644562696
32,Cm-245,0.0,0.0015061607300819876
33,Lumped Act.,0.0,1.4525286457345268e-07
34,FPs,0.0,6.3498546592985035
Total,,100.0,99.99979378248825
