,Isotope,Burnup-Conc,0.1,1.0,10.0,100.0,1000.0,10000.0
0,U-233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,U-234,6.5439667485325775e-06,7.148772246808302e-06,1.4005343148028625e-05,9.449902529928615e-05,0.0007356661851425809,0.001883096235780568,0.0018506192012379488
2,U-235,0.6532445705091252,0.6532459877193798,0.6532587653875532,0.6533865294432963,0.6546628884661745,0.6672961965294538,0.7806158344432426
3,U-236,0.796199675543152,0.7962011035703801,0.7962139924903269,0.796346084102712,0.7977839612189971,0.8118098535270182,0.8984135502862466
4,U-237,6.1141193174248385e-09,6.09882357900275e-09,5.8420540951587346e-09,3.7976219106698546e-09,5.124120459979258e-11,7.53922376064964e-14,3.623344951237316e-14
5,U-238,91.15982898906022,91.15982901308806,91.15982922937964,91.15983139152792,91.15985302689735,91.16006921922776,91.1622112413496
6,U-239,6.535454185748579e-05,0.0,0.0,0.0,0.0,0.0,0.0
7,Np-234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Np-235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Np-236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Np-237,1.5093851229300198e-05,1.621303066621594e-05,3.2713008663868576e-05,0.0007400513982824201,0.023562188434445117,0.1565445910636091,0.19875411385459124
11,Np-238,5.2679498948261065e-08,1.5837482193452537e-10,1.573394759448946e-10,1.5060111448731447e-10,9.721494844963827e-11,1.2211856567277264e-12,1.194725509642958e-31
12,Np-239,0.009446305845549448,2.6673391709835236e-07,3.698531331581383e-08,3.69543357994363e-08,3.6645942970881635e-08,3.3699855675288984e-08,1.457635815038161e-08
13,Np-240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Pu-235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Pu-236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Pu-237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Pu-238,0.0007415427146615147,0.0008037883466681547,0.0010815588562345848,0.0011256107895121225,0.0007260369218426347,9.09882089173407e-06,8.90009405413547e-25
18,Pu-239,0.4896799385946534,0.4991903409594317,0.4991816227503456,0.4990918235134568,0.4981771858289287,0.4889079879669933,0.3974141094737951
19,Pu-240,0.13681268136932426,0.13689161395483052,0.13758845744467355,0.1433682519882972,0.15599764260162385,0.14243139788951453,0.055600587441726634
20,Pu-241,0.1920726345713034,0.19115563671373706,0.1830971791387193,0.11902215465594082,0.0016059657871181938,2.365932774363269e-06,1.137065412184775e-06
21,Pu-242,0.13906351861811547,0.1390640201354258,0.13906443935426735,0.13906847784719334,0.1390957164686609,0.13895700284969525,0.13668990706195336
22,Pu-243,4.2324547872059945e-05,8.912253216173949e-58,0.0,0.0,0.0,0.0,0.0
23,Am-240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Am-241,0.006458992398597413,0.007374883353659874,0.01541695155562549,0.07878574189869887,0.1733904577645768,0.042086886282521774,3.621301420187215e-05
25,Am-242,2.6398054444562958e-06,1.1117167797396624e-08,1.1068613159000707e-08,1.0594578808425107e-08,6.8389363266858785e-09,8.590871139276953e-11,8.404727687067903e-30
26,Am-242m,0.000862018430585455,0.0008615992944254575,0.0008578362278832139,0.0008210977645054316,0.0005300291244208021,6.65807033499531e-06,6.513806013355037e-25
27,Am-243,0.042185438167152485,0.04222736958452638,0.04222383153556618,0.042188466430410715,0.04183639351550617,0.038473028911788734,0.016640921372236973
28,Am-244,4.448270001467912e-05,6.311698501131955e-31,1.4714387540159328e-263,0.0,0.0,0.0,0.0
29,Cm-242,0.0004380682310033062,0.0003777911859233817,9.62790883700612e-05,2.14380781133328e-06,1.3837965539166378e-06,1.73828462640966e-08,1.7006201921478012e-27
30,Cm-243,1.3958500946390622e-05,1.3925646248619198e-05,1.3633412131613055e-05,1.1027996285612074e-05,1.322565191709572e-06,8.139952318224495e-16,6.348477542565362e-108
31,Cm-244,0.02120798644562696,0.021172106091377846,0.020462351725810686,0.014550247629908503,0.0004808601375222941,7.473132680333185e-19,6.142453201273676e-167
32,Cm-245,0.0015061607300819876,0.0015061484679483345,0.00150603811323767,0.0015049350107306774,0.0014939483266377526,0.0013883976850490806,0.0006672628246987209
33,Lumped-Act.,1.4525286457345268e-07,1.4904932589712514e-07,1.8322892908847229e-07,5.26977338934293e-07,4.380566413878455e-06,7.319791362770959e-05,0.00104321359791936
34,FPs,6.3498546592985035,6.349854659298228,6.3498546592939675,6.349854659262781,6.3498546590125935,6.3498546547245125,6.349854622707123
Total,,99.99979378248825,99.99979378237079,99.99979378138843,99.9997937725675,99.99979375725304,99.99979368480123,99.99979334827037
