,Isotope,Fast MOX,LWR MOX
0,U-233,00.00,00.00
1,U-234,00.00,00.00
2,U-235,00.19,00.30
3,U-236,00.08,00.04
4,U-237,00.00,00.00
5,U-238,61.10,68.91
6,U-239,00.00,00.00
7,Np-234,00.00,00.00
8,Np-235,00.00,00.00
9,Np-236,00.00,00.00
10,Np-237,00.01,00.02
11,Np-238,00.00,00.00
12,Np-239,00.01,00.00
13,Np-240,00.00,00.00
14,Pu-235,00.00,00.00
15,Pu-236,00.00,00.00
16,Pu-237,00.00,00.00
17,Pu-238,00.06,00.12
18,Pu-239,10.99,02.83
19,Pu-240,05.45,01.79
20,Pu-241,01.62,03.41
21,Pu-242,02.83,03.97
22,Pu-243,00.00,00.00
23,Am-240,00.00,00.00
24,Am-241,01.06,01.25
25,Am-242,00.00,00.00
26,Am-242m,00.35,00.17
27,Am-243,00.72,01.49
28,Am-244,00.00,00.00
29,Cm-242,00.01,00.01
30,Cm-243,00.00,00.00
31,Cm-244,00.46,00.63
32,Cm-245,00.04,00.05
33,Lumped-Act.,00.00,00.00
34,FPs,15.01,15.00
Total,,99.99,99.99
