,Isotope,5% Enriched,Once Burned MOX
0,U-233,0.0,0.0
1,U-234,0.0,0.0
2,U-235,0.0,0.0
3,U-236,0.0,0.0
4,U-237,0.0,0.0
5,U-238,0.0,0.0
6,U-239,0.0,0.0
7,Np-234,0.0,0.0
8,Np-235,0.0,0.0
9,Np-236,0.0,0.0
10,Np-237,0.0,0.0
11,Np-238,0.0,0.0
12,Np-239,0.0,0.0
13,Np-240,0.0,0.0
14,Pu-235,0.0,0.0
15,Pu-236,0.0,0.0
16,Pu-237,0.0,0.0
17,Pu-238,0.04561238097170621,0.13130408476135175
18,Pu-239,50.772908996866256,40.69339145829014
19,Pu-240,14.644337676417262,16.08349896490791
20,Pu-241,19.550029941009047,20.032949756647245
21,Pu-242,10.661068077226657,13.677288697023663
22,Pu-243,0.0028676260317435386,0.0002277921367211849
23,Am-240,0.0,0.0
24,Am-241,0.6572301596791632,4.0795239715755205
25,Am-242,0.00023784269935447246,9.675412739717854e-05
26,Am-242m,0.08575294725746709,0.3574473630174687
27,Am-243,2.548654397838908,3.576049740122897
28,Am-244,0.002374433749726547,0.00020648754547611785
29,Cm-242,0.035342958665756576,0.016713153854402876
30,Cm-243,0.0009192313499210985,0.0009013016022854207
31,Cm-244,0.936657105614066,1.2638749038109092
32,Cm-245,0.056006224622936966,0.08652557057660551
33,Lumped-Act.,0.0,0.0
34,FPs,0.0,0.0
Total,,99.99999999999997,100.0
Avg k,1.316347823752345,,
Weight percent required,,0.35013127361500707,1.0
