,Isotope,5% Enriched,Once Burned MOX
0,U-233,00.00,00.00
1,U-234,00.00,00.00
2,U-235,00.00,00.00
3,U-236,00.00,00.00
4,U-237,00.00,00.00
5,U-238,00.00,00.00
6,U-239,00.00,00.00
7,Np-234,00.00,00.00
8,Np-235,00.00,00.00
9,Np-236,00.00,00.00
10,Np-237,00.00,00.00
11,Np-238,00.00,00.00
12,Np-239,00.00,00.00
13,Np-240,00.00,00.00
14,Pu-235,00.00,00.00
15,Pu-236,00.00,00.00
16,Pu-237,00.00,00.00
17,Pu-238,00.05,00.13
18,Pu-239,50.77,40.69
19,Pu-240,14.64,16.08
20,Pu-241,19.55,20.03
21,Pu-242,10.66,13.68
22,Pu-243,00.00,00.00
23,Am-240,00.00,00.00
24,Am-241,00.66,04.08
25,Am-242,00.00,00.00
26,Am-242m,00.09,00.36
27,Am-243,02.55,03.58
28,Am-244,00.00,00.00
29,Cm-242,00.04,00.02
30,Cm-243,00.00,00.00
31,Cm-244,00.94,01.26
32,Cm-245,00.06,00.09
33,Lumped-Act.,00.00,00.00
34,FPs,00.00,00.00
Total,,100.00,100.00
Avg k,1.316347823752345,,
Weight percent required,,00.35,01.00
